"Subject","Catalog","Requisite Subject","Requisite Catalog","Type","Grade"
"CS","210","CS","115","P","C-"
"CS","210","CS","215","C",
"CS","215","CS","115","P","C-"
"CS","215","CS","210","C",
"CS","242","MATH","161","P","C-"
"CS","242","MATH","161X","P","C-"
"CS","252","CS","242","P","C-"
"CS","315","CS","215","P","C-"
"CS","315","CS","242","P","C-"
"CS","349","CS","315","P","C-"
"CS","351","CS","252","P","C-"
"CS","360","CS","315","P","C-"
"CS","365","CS","215","P","C-"
"CS","365","CS","252","P","C-"
"CS","450","CS","315","P","C-"
"CS","450","CS","252","P","C-"
"CS","454","CS","315","P","C-"
"CS","460","CS","315","P","C-"
"CS","415","CS","315","P","C-"
